Date,Last
09-03-2021,8029.20
08-03-2021,7916.41
05-03-2021,7958.98
04-03-2021,7806.45
03-03-2021,7911.21
02-03-2021,8015.54
01-03-2021,8080.78
26-02-2021,7892.81
25-02-2021,7929.56
24-02-2021,8127.38
23-02-2021,8036.06
22-02-2021,8025.81
19-02-2021,8087.68
18-02-2021,8102.24
17-02-2021,8137.88
16-02-2021,8139.16
12-02-2021,8142.79
11-02-2021,8104.19
10-02-2021,8089.11
09-02-2021,8091.70
08-02-2021,8099.33
05-02-2021,8039.67
04-02-2021,8007.62
03-02-2021,7920.85
02-02-2021,7912.87
01-02-2021,7804.31
29-01-2021,7681.01
28-01-2021,7831.22
27-01-2021,7754.74
26-01-2021,7959.10
25-01-2021,7970.92
22-01-2021,7942.20
21-01-2021,7966.11
20-01-2021,7962.92
19-01-2021,7853.47
15-01-2021,7789.79
14-01-2021,7846.10
13-01-2021,7874.75
12-01-2021,7856.73
11-01-2021,7853.45
08-01-2021,7905.28
07-01-2021,7861.10
06-01-2021,7744.43
05-01-2021,7700.34
04-01-2021,7645.27
